PayoutRef,Period,GrossSales,NewClientCommission,PrepaymentFees,Refunds,NetPayout
MC-PAYOUT-2107,1-15 Jul 2026,1180.00,383.50,41.50,60.00,695.00
BookingDate,Client,ClientType,Service,GrossAmount,CommissionRate,Commission
2026-07-01,Client J,New,Cut & Colour,180.00,35%,63.00
2026-07-02,Client K,New,Full Head Highlights,240.00,35%,84.00
2026-07-03,Client L,New,Balayage,220.00,35%,77.00
2026-07-04,Client M,Repeat,Blow Dry,28.00,0%,0.00
2026-07-05,Client N,New,Cut & Colour,200.00,35%,70.00
2026-07-07,Client O,Repeat,Cut & Finish,22.00,0%,0.00
2026-07-08,Client P,New,Colour Correction,160.00,35%,56.00
2026-07-09,Client Q,Repeat,Fringe Trim,18.00,0%,0.00
2026-07-10,Client R,New,Highlights,112.00,35%,39.20
